filename,transcript
data/wav48/p225/p225_030.wav,eople come into the Borders for the beauty of the background.
data/wav48/p225/p225_033.wav,"t's really no great surprise, because the price difference is so much."
data/wav48/p225/p225_035.wav, hostile bid is prevented for another nine months.
data/wav48/p225/p225_036.wav,t was a close call.
data/wav48/p225/p225_037.wav,"n fact, they are the future of investment."
data/wav48/p225/p225_038.wav,iving is no part of football.
data/wav48/p225/p225_039.wav,"owever, the decision has been welcomed by Scottish Enterprise officials."
data/wav48/p225/p225_040.wav,ou'd better believe it.
data/wav48/p225/p225_044.wav,"t was served by sheriff officers, not by the council."
data/wav48/p225/p225_045.wav,eople were determined to change the Government in the last election.
data/wav48/p225/p225_046.wav,o details of the talks were given.
data/wav48/p225/p225_049.wav, have learned from him.
data/wav48/p225/p225_051.wav,e are committed to the ban.
data/wav48/p225/p225_052.wav,"lready, he has been a tremendous influence in the dressing room."
data/wav48/p225/p225_053.wav, have made that offer.
data/wav48/p225/p225_054.wav,our other charges were dropped.
data/wav48/p225/p225_056.wav,"learly, it can go either way."
data/wav48/p225/p225_057.wav,"owever, the City was in no doubt about the ultimate result."
data/wav48/p225/p225_058.wav,"owever, the problem is the timing."
data/wav48/p225/p225_059.wav,ut retail banking would be run from Halifax.
data/wav48/p225/p225_060.wav,trathclyde police have appealed for witnesses.
data/wav48/p225/p225_061.wav,addam is not the only example of evil in our world.
data/wav48/p225/p225_062.wav," was very pleased with them today, though."
data/wav48/p225/p225_063.wav,oth sides have been hit by injury.
data/wav48/p225/p225_064.wav,t could take some time.
data/wav48/p225/p225_065.wav,here is no pressure on us.
data/wav48/p225/p225_066.wav,t is a job creation scheme.
data/wav48/p225/p225_067.wav,"hankfully, Mr Campbell was able to help."
data/wav48/p225/p225_070.wav,hat is bound to happen.
data/wav48/p225/p225_071.wav,e is in the queue.
data/wav48/p225/p225_072.wav,"hat kind of man does that, Mr Dick ?"
data/wav48/p225/p225_073.wav,"o, did she meet him ?"
data/wav48/p225/p225_081.wav, had no intention of misleading anyone.
data/wav48/p225/p225_082.wav,hat view is held by many others within the industry.
data/wav48/p225/p225_083.wav,estern countries condemned the conduct of the poll.
data/wav48/p225/p225_084.wav,"e is delighted, and he has every right to be."
data/wav48/p225/p225_086.wav,"n fact, he should never have been in the field."
data/wav48/p225/p225_089.wav,fficers recovered a second body in the area.
data/wav48/p225/p225_090.wav, did not have a bet on myself.
data/wav48/p225/p225_092.wav,here is a contract in existence for Allan.
data/wav48/p225/p225_094.wav,hat's as it should be.
data/wav48/p225/p225_103.wav,veryone deserves to share in this success.
data/wav48/p225/p225_104.wav,is is a success story by any standard.
data/wav48/p225/p225_108.wav,r Chisholm said the move was made on the advice of consultants.
data/wav48/p225/p225_109.wav,hat might help a bit.
data/wav48/p225/p225_110.wav,"hereafter, he set his mind on becoming a doctor."
data/wav48/p225/p225_111.wav,t isn't a happy memory.
data/wav48/p225/p225_113.wav,he big issue for us is the review.
data/wav48/p225/p225_114.wav, told him I was a long time ago.
data/wav48/p225/p225_115.wav,"verall, it was a promising day for the Scots."
data/wav48/p225/p225_116.wav,esterday the company reported a further downturn in profits.
data/wav48/p225/p225_117.wav,e have no influence on the Government's policy on the euro.
data/wav48/p225/p225_118.wav,e suffered a lot for seven years.
data/wav48/p225/p225_120.wav,he industry is not well organised.
data/wav48/p225/p225_121.wav,ou get a lot for your money.
data/wav48/p225/p225_122.wav, didn't feel under any pressure.
data/wav48/p225/p225_123.wav,t is the latter which has prompted the warning.
data/wav48/p225/p225_124.wav,"s for the warning, it was not needed."
data/wav48/p225/p225_126.wav,he squad is too small.
data/wav48/p225/p225_127.wav,t is a common problem.
data/wav48/p225/p225_128.wav,r Hall is believed to have a broken leg.
data/wav48/p225/p225_131.wav,nother High Street retailer was not so lucky.
data/wav48/p225/p225_133.wav, think he's the favourite.
data/wav48/p225/p225_135.wav,e have seen a copy of the report.
data/wav48/p225/p225_136.wav,ut the Commission is on a collision course with the Government.
data/wav48/p225/p225_141.wav,rugs are used a lot at the fishing.
data/wav48/p225/p225_142.wav,"ell, you can have a tree."
data/wav48/p225/p225_143.wav,ussell did not appeal the committee's decision.
data/wav48/p225/p225_144.wav,he will do for me.
data/wav48/p225/p225_145.wav,hy change it ?
data/wav48/p225/p225_147.wav,oes the name matter ?
data/wav48/p225/p225_149.wav,hareholders will be asked to approve a new replacement scheme.
data/wav48/p225/p225_150.wav,ut he stressed that the partnership is not a construction company.
data/wav48/p225/p225_151.wav,othing has been put into action.
data/wav48/p225/p225_152.wav,he weather forecast isn't good.
data/wav48/p225/p225_153.wav,e have a clean bill of health.
data/wav48/p225/p225_156.wav, would like to see the figures  for the second quarter.
data/wav48/p225/p225_157.wav,e was asked to quit.
data/wav48/p225/p225_158.wav,"nside, the atmosphere was quiet."
data/wav48/p225/p225_159.wav,either side can win this war.
data/wav48/p225/p225_165.wav,he Internet is no substitute for customer service.
data/wav48/p225/p225_166.wav,"ike last month, it is simply too early to make a call."
data/wav48/p225/p225_169.wav,rvine said his company was intent on supporting the Scottish dairy industry.
data/wav48/p225/p225_171.wav,he report was criticised by the Scottish Consumer Council.
data/wav48/p225/p225_172.wav,obody did in those days.
data/wav48/p225/p225_173.wav,ut the story of the play is worth a play in itself.
data/wav48/p225/p225_174.wav,e was a big influence on our decision to make this show.
data/wav48/p225/p225_175.wav,"t that point, the structure of the board was changed."
data/wav48/p225/p225_176.wav,reatment is not an issue with these people.
data/wav48/p225/p225_177.wav,he event was held in the council's headquarters in Hamilton.
data/wav48/p225/p225_179.wav,hey know no other way.
data/wav48/p225/p225_182.wav,e are just glad to be alive.
data/wav48/p225/p225_191.wav,eople will ask about us.
data/wav48/p225/p225_192.wav,"owever, this idea is never developed."
data/wav48/p225/p225_193.wav,t's very difficult to find a buyer.
data/wav48/p225/p225_195.wav,t is hard to tell.
data/wav48/p225/p225_196.wav," think, therefore I am ?"
data/wav48/p225/p225_197.wav,ho was she ?
data/wav48/p225/p225_199.wav,nd they were being paid ?
data/wav48/p225/p225_200.wav,t looked like a river.
data/wav48/p225/p225_201.wav,he early goal was a shock to the system for Hearts.
data/wav48/p225/p225_202.wav,he occasion was the New Labour conference in Brighton last year.
data/wav48/p225/p225_203.wav,hey have the cash and the fire power.
data/wav48/p225/p225_208.wav,ou are a great player.
data/wav48/p225/p225_210.wav,cotland will play its part.
data/wav48/p225/p225_211.wav,e added that he was very sad about O Neill.
data/wav48/p225/p225_212.wav,fter that nothing could save him.
data/wav48/p225/p225_218.wav,e used to live with dignity in our country.
data/wav48/p225/p225_219.wav,hey did not attack the themes of the book.
data/wav48/p225/p225_220.wav,e would discuss the peace process in Northern Ireland.
data/wav48/p225/p225_221.wav,t's all change at Kilmarnock.
data/wav48/p225/p225_222.wav,n each case they were a goal down.
data/wav48/p225/p225_223.wav,he police have an awful lot to explain.
data/wav48/p225/p225_224.wav,e said that healthy eating was high on the council agenda.
data/wav48/p225/p225_225.wav,t is good for our team.
data/wav48/p225/p225_235.wav, always felt that I was in control of the match.
data/wav48/p225/p225_236.wav,hat will be the criteria for the future.
data/wav48/p225/p225_237.wav,"rankly, we were lucky to get second."
data/wav48/p225/p225_238.wav,aterson can afford to be generous.
data/wav48/p225/p225_239.wav,"n fact, he is not even in the squad for the game."
data/wav48/p225/p225_240.wav,e are in the hat.
data/wav48/p225/p225_241.wav,"ell, they were the unlucky ones."
data/wav48/p225/p225_242.wav,he singer is expected to be in hospital for several days.
data/wav48/p225/p225_243.wav,he irony was not lost.
data/wav48/p225/p225_244.wav,hat was the matter for concern ?
data/wav48/p225/p225_248.wav,oes that put pressure on us ?
data/wav48/p225/p225_253.wav,"learly, the need for a personal loan is written in the stars."
data/wav48/p225/p225_254.wav,he problem was a social problem.
data/wav48/p225/p225_257.wav,y son was too young to die.
data/wav48/p225/p225_258.wav,e were not allowed to go to help them.
data/wav48/p225/p225_264.wav,hat should be the subject matter of a public debate.
data/wav48/p225/p225_265.wav,t was a Budget for jobs for Scotland.
data/wav48/p225/p225_266.wav,o other vehicle was involved in the crash.
data/wav48/p225/p225_268.wav, realised I was lucky to have it.
data/wav48/p225/p225_273.wav,e has not created a Festival resource.
data/wav48/p225/p225_274.wav,e have not reached the point of no return.
data/wav48/p225/p225_275.wav,imilar measures are expected in England and Wales.
data/wav48/p225/p225_276.wav,e will make an excellent chief inspector.
data/wav48/p225/p225_277.wav,t depends on the internal discussions in the Ministry of Defence.
data/wav48/p225/p225_279.wav,"verything happened so quickly, that we were taken by surprise."
data/wav48/p225/p225_280.wav,"adly, the revival could not be sustained."
data/wav48/p225/p225_281.wav,hey were not at the property yesterday.
data/wav48/p225/p225_282.wav,t was at the Royal Concert Hall in Glasgow.
data/wav48/p225/p225_285.wav,e have to break that cycle.
data/wav48/p225/p225_286.wav, wanted to change the formula.
data/wav48/p225/p225_287.wav,he said the charity would continue to monitor the case.
data/wav48/p225/p225_289.wav,otherwell have no such good fortune.
data/wav48/p225/p225_290.wav,cotch beef is badly missed.
data/wav48/p225/p225_291.wav,e would hope to make progress on that next year.
data/wav48/p225/p225_293.wav,"t's great, because it takes a lot of pressure off the players."
data/wav48/p225/p225_294.wav,"owever, we had no failures in our side."
data/wav48/p225/p225_295.wav,lydesdale Bank declined to comment.
data/wav48/p225/p225_296.wav,t goes back a long way.
data/wav48/p225/p225_297.wav,nnocent people have a right to live in safety.
data/wav48/p225/p225_298.wav,t was deployed in the Gulf War.
data/wav48/p225/p225_299.wav,hey had to learn to work from the consumer back.
data/wav48/p225/p225_300.wav, can hardly believe it.
data/wav48/p225/p225_301.wav, must do something about it.
data/wav48/p225/p225_302.wav,"hree hours later, the man was free."
data/wav48/p225/p225_303.wav,nd it had been a marvellous occasion.
data/wav48/p225/p225_305.wav,ast Away now on general release.
data/wav48/p225/p225_308.wav, thought his speech was a disgrace.
data/wav48/p225/p225_309.wav,re they free ?
data/wav48/p225/p225_310.wav,hat are they for ?
data/wav48/p225/p225_312.wav,o they think anyone else wants them ?
data/wav48/p225/p225_314.wav,e believe the world has too many refugees already.
data/wav48/p225/p225_315.wav,"he confidence is low, but it is a difficult thing to understand."
data/wav48/p225/p225_316.wav,t is beyond the government to deal with this tragedy.
data/wav48/p225/p225_317.wav,"t the moment, it is very difficult to know."
data/wav48/p225/p225_318.wav,he problem was he thought you were a big man.
data/wav48/p225/p225_319.wav,here's still a bit to go.
data/wav48/p225/p225_320.wav,e have a good healthy debate.
data/wav48/p225/p225_322.wav,unding for the science centre has come from a number of sources.
data/wav48/p225/p225_323.wav,t is a court case.
data/wav48/p225/p225_324.wav,here is no plan B.
data/wav48/p225/p225_325.wav,he court was shown a video of the house on that day.
data/wav48/p225/p225_326.wav,e will go a long way.
data/wav48/p225/p225_328.wav,t is just a tax on employment.
data/wav48/p225/p225_329.wav,here is no other solution to congestion in Edinburgh.
data/wav48/p225/p225_330.wav,e are a peaceful people.
data/wav48/p225/p225_331.wav,s Anderson yesterday put a brave face on the departure.
data/wav48/p225/p225_332.wav,t's difficult to predict the future.
data/wav48/p225/p225_334.wav,lans to celebrate the Queen's Golden Jubilee will proceed.
data/wav48/p225/p225_335.wav,e are in the end game.
data/wav48/p225/p225_336.wav, came into this world with nothing.
data/wav48/p225/p225_337.wav,ut they have the sound.
data/wav48/p225/p225_346.wav,t wasn't a flight of fancy.
data/wav48/p225/p225_347.wav,oy is the town a mess.
data/wav48/p225/p225_348.wav,oes it matter ?
data/wav48/p225/p225_349.wav,ow do you take them away ?
data/wav48/p225/p225_350.wav,"owever, there is an issue, isn't there ?"
data/wav48/p225/p225_351.wav,"fter the match, do you ?"
data/wav48/p225/p225_352.wav,e was then replaced by Ross.
data/wav48/p225/p225_353.wav,HE pain was almost too much to bear.
data/wav48/p225/p225_354.wav,his action reflects a slump in bookings.
data/wav48/p225/p225_355.wav,er husband was very concerned that it might be fatal.
data/wav48/p225/p225_356.wav, said he was set to retire.
data/wav48/p225/p225_357.wav,t is a sign of hope.
data/wav48/p225/p225_358.wav,"he commitment was not long, and it was worth the risk."
data/wav48/p225/p225_359.wav,ut we welcome this document.
data/wav48/p225/p225_363.wav,here is The Beautiful Game to write.
data/wav48/p225/p225_365.wav,ou did not see it.
data/wav48/p225/p225_366.wav,t is linked to the row over proposed changes at Scottish Ballet.
data/wav48/p226/p226_001.wav,lease call Stella.  
data/wav48/p226/p226_002.wav,sk her to bring these things with her from the store.  
data/wav48/p226/p226_003.wav,"ix spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.  "
data/wav48/p226/p226_004.wav,e also need a small plastic snake and a big toy frog for the kids.  
data/wav48/p226/p226_005.wav,"he can scoop these things into three red bags, and we will go meet her Wednesday at the train station. "
data/wav48/p226/p226_006.wav,"hen the sunlight strikes raindrops in the air, they act as a prism and form a rainbow. "
data/wav48/p226/p226_007.wav,he rainbow is a division of white light into many beautiful colors. 
data/wav48/p226/p226_008.wav,"hese take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon. "
data/wav48/p226/p226_009.wav,"here is , according to legend, a boiling pot of gold at one end. "
data/wav48/p226/p226_010.wav,"eople look, but no one ever finds it. "
data/wav48/p226/p226_011.wav,"hen a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow. "
data/wav48/p226/p226_012.wav,hroughout the centuries people have explained the rainbow in various ways. 
data/wav48/p226/p226_013.wav,ome have accepted it as a miracle without physical explanation. 
data/wav48/p226/p226_014.wav,o the Hebrews it was a token that there would be no more universal floods. 
data/wav48/p226/p226_015.wav,he Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain. 
data/wav48/p226/p226_016.wav,he Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky. 
data/wav48/p226/p226_017.wav,thers have tried to explain the phenomenon physically. 
data/wav48/p226/p226_018.wav,ristotle thought that the rainbow was caused by reflection of the sun's rays by the rain. 
data/wav48/p226/p226_019.wav,"ince then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows. "
data/wav48/p226/p226_020.wav,any complicated ideas about the rainbow have been formed. 
data/wav48/p226/p226_021.wav,"he difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases. "
data/wav48/p226/p226_022.wav,he actual primary rainbow observed is said to be the effect of super-imposition of a number of bows. 
data/wav48/p226/p226_023.wav,"f the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow. "
data/wav48/p226/p226_024.wav,"his is a very common type of bow, one showing mainly red and yellow, with little or no green or blue."
data/wav48/p226/p226_025.wav,e has not been named.
data/wav48/p226/p226_026.wav,hat's no bad thing.
data/wav48/p226/p226_027.wav,hey should have a major rethink about the event for next year.
data/wav48/p226/p226_028.wav,uggestions of the action being a punishment were dismissed.
data/wav48/p226/p226_029.wav,e want to ensure that the process is entirely transparent.
data/wav48/p226/p226_030.wav,ecause we do not need it.
data/wav48/p226/p226_031.wav,his is the window.
data/wav48/p226/p226_032.wav, was an athlete.
data/wav48/p226/p226_033.wav,rom that day on we started to look for another full back.
data/wav48/p226/p226_034.wav,r Ferguson became a minister after seven years as a journalist.
data/wav48/p226/p226_036.wav,t can't just be a cynical marketing exercise.
data/wav48/p226/p226_037.wav,t is a matter of the utmost concern to the Allies.
data/wav48/p226/p226_039.wav,t has failed.
data/wav48/p226/p226_040.wav,t was clear.
data/wav48/p226/p226_041.wav,t is not for any other purpose.
data/wav48/p226/p226_042.wav,"f course, on Tuesday, United were beaten despite this."
data/wav48/p226/p226_043.wav,s there a new way forward?
data/wav48/p226/p226_044.wav,exico City was a wonderful experience.
data/wav48/p226/p226_045.wav,his represents a tough game for us.
data/wav48/p226/p226_046.wav,ailure to comply with the order is likely to result in prison.
data/wav48/p226/p226_047.wav,e need to chat.
data/wav48/p226/p226_048.wav,t's a blessing.
data/wav48/p226/p226_049.wav,ut it might have done.
data/wav48/p226/p226_050.wav,"esterday, he had a chilling warning for the game in Scotland."
data/wav48/p226/p226_051.wav,"t has been a horrible, horrible time."
data/wav48/p226/p226_052.wav,t is the whole package.
data/wav48/p226/p226_053.wav,e had no enemies.
data/wav48/p226/p226_054.wav," got a great response from the players, as I had expected."
data/wav48/p226/p226_055.wav,"owever, he will now have to wait for his chance to impress."
data/wav48/p226/p226_056.wav,"or the meantime, though, the signs are good."
data/wav48/p226/p226_057.wav,t's the big omission.
data/wav48/p226/p226_058.wav,ext league matches Celtic.
data/wav48/p226/p226_059.wav,he's a spy!
data/wav48/p226/p226_060.wav,t is unique.
data/wav48/p226/p226_061.wav,t is not a process which can be completed overnight.
data/wav48/p226/p226_062.wav,his is a scheme that has a lot of potential.
data/wav48/p226/p226_063.wav,t's a real challenge.
data/wav48/p226/p226_064.wav,t is not great art.
data/wav48/p226/p226_065.wav,ou do not change overnight.
data/wav48/p226/p226_066.wav,rt is extra.
data/wav48/p226/p226_067.wav,t's a matter of balance.
data/wav48/p226/p226_068.wav,cotland had great assets.
data/wav48/p226/p226_069.wav,'ve spent a lot of time on buses.
data/wav48/p226/p226_070.wav,here was a tremendous amount of anger and frustration in that music.
data/wav48/p226/p226_071.wav," am pleased with the result, as it was a possible upset."
data/wav48/p226/p226_072.wav,"verything happened so quickly, that we were taken by surprise."
data/wav48/p226/p226_073.wav,he script was funny.
data/wav48/p226/p226_074.wav,ou need a trademark.
data/wav48/p226/p226_075.wav,"ainful, but only because it's true."
data/wav48/p226/p226_076.wav,elp is needed.
data/wav48/p226/p226_077.wav,ommy is not a problem.
data/wav48/p226/p226_078.wav,here could be a way back.
data/wav48/p226/p226_079.wav,either it is.
data/wav48/p226/p226_080.wav,he First Minister is scheduled to be elected by the Parliament tomorrow.
data/wav48/p226/p226_082.wav,t is a terrible place.
data/wav48/p226/p226_083.wav,t works for us.
data/wav48/p226/p226_084.wav," would think about the end of January, the beginning of February."
data/wav48/p226/p226_085.wav,t can be halted.
data/wav48/p226/p226_086.wav,his is the way things should be handled.
data/wav48/p226/p226_088.wav,etection is often difficult.
data/wav48/p226/p226_089.wav,e seems to be pleased with the picture.
data/wav48/p226/p226_090.wav,ew Zealand rugby is totally different.
data/wav48/p226/p226_091.wav,omeone who cares
data/wav48/p226/p226_092.wav,t's just awful.
data/wav48/p226/p226_093.wav,t's never too late.
data/wav48/p226/p226_094.wav,very time I play I do not understand their reaction.
data/wav48/p226/p226_095.wav,hat will come after the game on Saturday.
data/wav48/p226/p226_096.wav,"owever, it did not end that way."
data/wav48/p226/p226_097.wav,e could not get any possession.
data/wav48/p226/p226_098.wav,f you could find it.
data/wav48/p226/p226_099.wav,e is hungry for success and I am the same.
data/wav48/p226/p226_100.wav,hey were under a lot of pressure from the other clubs.
data/wav48/p226/p226_101.wav,t was mayhem.
data/wav48/p226/p226_102.wav, am not willing to say anything about any couple.
data/wav48/p226/p226_103.wav,hey were outside the circle.
data/wav48/p226/p226_104.wav,"owever, the intensive care unit at the Southern General Hospital was full."
data/wav48/p226/p226_105.wav,ay not have been at fault?
data/wav48/p226/p226_106.wav,t was some time before she found out he was safe.
data/wav48/p226/p226_107.wav,t was a good performance.
data/wav48/p226/p226_108.wav,"hat time is not now, however."
data/wav48/p226/p226_109.wav,il embargo endorsed.
data/wav48/p226/p226_110.wav,efore the game we went for a pint.
data/wav48/p226/p226_111.wav,t was an adventure.
data/wav48/p226/p226_112.wav,he eye was badly closed on Sunday.
data/wav48/p226/p226_113.wav,he Prime Minister was very saddened to hear about this.
data/wav48/p226/p226_114.wav,t was really enjoyable on Saturday.
data/wav48/p226/p226_115.wav, did not think about the Ryder Cup.
data/wav48/p226/p226_116.wav,t is normal.
data/wav48/p226/p226_117.wav, don't have many friends.
data/wav48/p226/p226_118.wav,e have to look at everything before we make any final decision.
data/wav48/p226/p226_119.wav,mong them was Gary Robertson from Dundee.
data/wav48/p226/p226_120.wav,t would not do any harm to reinforce the message.
data/wav48/p226/p226_121.wav,aybe this battle has been.
data/wav48/p226/p226_122.wav,r Chisholm said the move was made on the advice of consultants.
data/wav48/p226/p226_124.wav,his is the first big idea of the Scottish Parliament election.
data/wav48/p226/p226_125.wav,he's got to say something.
data/wav48/p226/p226_126.wav,t is a delight on every level.
data/wav48/p226/p226_127.wav,e recognise the important role of golf in attracting visitors.
data/wav48/p226/p226_128.wav, felt very strongly that England should have it.
data/wav48/p226/p226_129.wav,he has been shot.
data/wav48/p226/p226_130.wav, thought it was a fantastic game.
data/wav48/p226/p226_131.wav, was furious.
data/wav48/p226/p226_132.wav,hild abuse is a dreadful thing.
data/wav48/p226/p226_133.wav,he really suffered for her art.
data/wav48/p226/p226_134.wav,t's the traumatic event in the childhood of the nation.
data/wav48/p226/p226_135.wav, do not think this family will ever get over this.
data/wav48/p226/p226_136.wav,ish I could be there on Sunday in person but I can't.
data/wav48/p226/p226_137.wav,t will be too hot.
data/wav48/p226/p226_138.wav,he whole thing of doing the movie was a risk.
data/wav48/p226/p226_139.wav, am now unemployed.
data/wav48/p226/p226_140.wav,hey made such decisions in London.
data/wav48/p226/p226_141.wav,ur intentions are real.
data/wav48/p226/p226_142.wav,overnment will intervene.
data/wav48/p226/p226_143.wav,veryone is in favour of the need for welfare reform in general.
data/wav48/p226/p226_144.wav,olice could not say if the two incidents were connected.
data/wav48/p226/p226_145.wav,"n Friday, the headteacher and deputy headteacher appeared at the door."
data/wav48/p226/p226_146.wav,t is not satisfied with the standard of fire safety provisions.
data/wav48/p226/p226_148.wav,hree penalties were given.
data/wav48/p226/p226_149.wav,"n this case, the farmer had actually given permission."
data/wav48/p226/p226_150.wav,e just had a go.
data/wav48/p226/p226_151.wav,e have seen a copy of the report.
data/wav48/p226/p226_152.wav,hat could mean the difference between life and death in action.
data/wav48/p226/p226_153.wav,hat group reported just before Christmas.
data/wav48/p226/p226_154.wav,nitial reports said the aircraft had experienced a loss of power.
data/wav48/p226/p226_155.wav,t's an issue that will have to be tackled.
data/wav48/p226/p226_156.wav,he petition was formally presented at Downing Street yesterday.
data/wav48/p226/p226_157.wav,lain Baxter did not have long to speak on Friday.
data/wav48/p226/p226_158.wav,e will turn the corner.
data/wav48/p226/p226_159.wav,he weather affected the other two games in Fife.
data/wav48/p226/p226_160.wav,hey should stop the bombing.
data/wav48/p226/p226_161.wav,hese days are long gone.
data/wav48/p226/p226_162.wav,t is an attitude of mind.
data/wav48/p226/p226_163.wav,'ve learned from my mistakes.
data/wav48/p226/p226_164.wav,hey say that vital evidence was not heard in court.
data/wav48/p226/p226_165.wav,e have to move forward.
data/wav48/p226/p226_166.wav,"owever, the French government has a major dilemma on its hands."
data/wav48/p226/p226_167.wav,hey will do their own thing.
data/wav48/p226/p226_168.wav,t is too much for me.
data/wav48/p226/p226_169.wav,obody did in those days.
data/wav48/p226/p226_171.wav, helpline number is published at the end of this article.
data/wav48/p226/p226_172.wav,t became a book by itself.
data/wav48/p226/p226_173.wav,is team management was protective.
data/wav48/p226/p226_174.wav,t's quite a routine.
data/wav48/p226/p226_175.wav,t is not either national standards or local control.
data/wav48/p226/p226_176.wav,"f that's the case, he will struggle."
data/wav48/p226/p226_177.wav, took the gun.
data/wav48/p226/p226_178.wav,r Docherty said the whole family was shocked.
data/wav48/p226/p226_179.wav,o-one has appeared in court in relation to her death.
data/wav48/p226/p226_180.wav, have the first six months of next season to prove myself.
data/wav48/p226/p226_181.wav,'ve been there.
data/wav48/p226/p226_183.wav, have no sympathy with her at all.
data/wav48/p226/p226_184.wav,"t's a portrait of Glasgow, not the portrait."
data/wav48/p226/p226_185.wav,t is not fair.
data/wav48/p226/p226_186.wav,t just came into my head that day.
data/wav48/p226/p226_187.wav, had a train to catch.
data/wav48/p226/p226_188.wav,ny change would be subject to the Scottish Parliament's approval.
data/wav48/p226/p226_189.wav,he whole process is a vicious circle at the moment.
data/wav48/p226/p226_190.wav,"uddenly, the rugby world had changed."
data/wav48/p226/p226_191.wav,reasury spokesman Malcolm Bruce is also considered a potential contender.
data/wav48/p226/p226_192.wav,eople will ask about us.
data/wav48/p226/p226_193.wav,he appeal tribunal will give its decision at a later date.
data/wav48/p226/p226_194.wav,t is a case of taking a risk.
data/wav48/p226/p226_195.wav,"t's a commission, and it's for work, a year's work."
data/wav48/p226/p226_197.wav,here was no option.
data/wav48/p226/p226_198.wav,s that it?
data/wav48/p226/p226_199.wav,e live by the rule of law.
data/wav48/p226/p226_200.wav,s that success?
data/wav48/p226/p226_201.wav,he service from the other players was super.
data/wav48/p226/p226_202.wav,hey are in the euro.
data/wav48/p226/p226_203.wav,he guidelines are expected to be finalised before next spring.
data/wav48/p226/p226_204.wav,he tickets will be on sale today at the ticket office.
data/wav48/p226/p226_205.wav,", in the meantime, had been far from chilling."
data/wav48/p226/p226_206.wav,"ome realism was needed about time, resources and management."
data/wav48/p226/p226_207.wav,t's a mixture of everything.
data/wav48/p226/p226_208.wav, don't want to use it.
data/wav48/p226/p226_209.wav,"ow, it's all right."
data/wav48/p226/p226_210.wav,t's like a garage.
data/wav48/p226/p226_211.wav,ut I am a worried man.
data/wav48/p226/p226_212.wav,hey like being on the front pages of the newspapers.
data/wav48/p226/p226_213.wav,eel the heat?
data/wav48/p226/p226_214.wav,'m pleased about one thing.
data/wav48/p226/p226_215.wav, am delighted for Simon.
data/wav48/p226/p226_216.wav,is third goal was superb.
data/wav48/p226/p226_217.wav,t's not ideal.
data/wav48/p226/p226_218.wav, was so nervous.
